Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ACC,EQ,1445.65,1452.5,1457.0,1438.2,1438.4,1440.1,1444.5,321092,46381770105000.0,12889,82053,0.2555
2020-01-02,ACC,EQ,1440.1,1442.0,1501.7,1442.0,1494.8,1493.05,1484.55,1503364,223181732925000.0,42586,394367,0.26230000000000003
2020-01-03,ACC,EQ,1493.05,1493.0,1494.0,1467.1,1476.8,1476.3,1478.78,568262,84033684490000.0,18109,146128,0.2571
2020-01-06,ACC,EQ,1476.3,1462.1,1469.85,1430.55,1433.0,1435.55,1445.74,408807,59102818525000.0,13675,147029,0.3597
2020-01-07,ACC,EQ,1435.55,1450.0,1465.05,1436.0,1453.1,1456.0,1452.32,863805,125452096695000.0,26295,223430,0.25870000000000004
2020-01-08,ACC,EQ,1456.0,1435.0,1477.0,1435.0,1460.15,1462.6,1463.35,981496,143627706670000.0,33402,211092,0.2151
2020-01-09,ACC,EQ,1462.6,1478.0,1491.95,1470.9,1483.9,1486.15,1482.69,685751,101675669275000.0,18750,188604,0.275
2020-01-10,ACC,EQ,1486.15,1495.0,1525.0,1487.25,1510.8,1511.2,1512.29,1109054,167720656910000.0,31226,274131,0.2472
2020-01-13,ACC,EQ,1511.2,1518.85,1530.7,1514.45,1524.0,1526.15,1524.44,531138,80968959390000.0,22276,141660,0.26670000000000005
2020-01-14,ACC,EQ,1526.15,1527.0,1534.0,1510.55,1517.0,1513.9,1522.76,850556,129518963090000.02,16788,499067,0.5868
2020-01-15,ACC,EQ,1513.9,1511.9,1533.9,1488.0,1532.15,1515.75,1502.61,974275,146395704545000.0,24576,400973,0.41159999999999997
2020-01-16,ACC,EQ,1515.75,1525.2,1529.65,1494.0,1504.8,1504.8,1510.3,650073,98180310270000.0,17341,130473,0.20070000000000002
2020-01-17,ACC,EQ,1504.8,1504.5,1522.6,1494.05,1509.0,1512.35,1513.62,409435,61972772400000.0,15479,73536,0.1796
2020-01-20,ACC,EQ,1512.35,1517.8,1517.8,1495.0,1497.55,1497.55,1504.36,223875,33678886850000.0,7080,22825,0.102
2020-01-21,ACC,EQ,1497.55,1494.95,1509.4,1487.0,1500.0,1496.1,1499.41,359320,53876967554999.99,12520,49579,0.138
2020-01-22,ACC,EQ,1496.1,1507.95,1537.0,1502.1,1525.0,1524.4,1526.06,1645875,251170297800000.0,53874,821909,0.4994
2020-01-23,ACC,EQ,1524.4,1526.25,1554.9,1525.0,1550.0,1548.35,1543.08,1100769,169857518235000.0,41698,294647,0.2677
2020-01-24,ACC,EQ,1548.35,1551.75,1570.75,1542.2,1563.1,1565.9,1557.96,780502,121599112440000.02,26688,139370,0.1786
2020-01-27,ACC,EQ,1565.9,1555.0,1579.6,1544.15,1549.95,1548.85,1563.47,535508,83725166320000.0,19264,108830,0.20320000000000002
2020-01-28,ACC,EQ,1548.85,1554.9,1576.55,1534.0,1559.95,1561.35,1563.45,696588,108907828445000.0,29661,198253,0.2846
2020-01-29,ACC,EQ,1561.35,1564.25,1574.0,1545.2,1546.5,1551.7,1563.04,405658,63405772010000.0,14489,44306,0.1092
2020-01-30,ACC,EQ,1551.7,1552.75,1556.4,1525.35,1535.1,1531.5,1536.99,415388,63844563245000.01,14339,90881,0.2188
2020-01-31,ACC,EQ,1531.5,1536.0,1552.0,1500.0,1506.0,1504.6,1523.2,514199,78323021905000.0,19865,95924,0.18660000000000002
2020-02-01,ACC,EQ,1504.6,1506.4,1528.0,1417.55,1427.2,1426.6,1464.06,1039085,152128565345000.0,28609,362027,0.34840000000000004
2020-02-03,ACC,EQ,1426.6,1434.0,1468.5,1431.15,1456.55,1456.55,1452.03,772603,112184422940000.02,29069,293559,0.38
